sample_id,lot_id,tool_id,sequence,pr_tone,retained_pattern_source,nominal_cd_nm,exposure_dose_mj_cm2,normalized_dose_pct,focus_um,coat_thickness_nm,softbake_temp_c,peb_temp_c,develop_time_s,developer_concentration_pct,field_x,field_y,resist_line_cd_nm,cdu_3sigma_nm,ler_nm,scum_probability,pattern_collapse_probability,defect_probability,spec_pass
S00489,L0024,T01,489,POSITIVE,UNEXPOSED,50.0,102.691192,102.691192,-0.040447,92.87906,100.196278,109.443946,35.223224,2.408649,-0.709753,0.245474,48.953214,3.100934,1.246858,0.363757,0.000647,0.080299,FAIL
S00624,L0031,T01,624,POSITIVE,UNEXPOSED,50.0,97.425357,97.425357,0.123277,100.75223,99.180757,107.726072,48.907885,2.362926,0.027606,0.315299,50.599678,3.686919,1.592575,0.231017,0.026269,0.113278,FAIL
S00623,L0031,T01,623,POSITIVE,UNEXPOSED,50.0,102.875702,102.875702,-0.035468,101.539379,98.355469,111.830158,56.554731,2.41534,-0.831918,-0.741168,48.380202,2.777548,1.203999,0.031906,0.053311,0.028353,PASS
S00213,L0010,T02,213,POSITIVE,UNEXPOSED,50.0,100.912311,100.912311,-0.002737,95.172174,95.613591,114.470335,42.346029,2.38275,0.435762,-0.05549,51.352991,1.651333,2.216947,0.198318,0.000194,0.026564,PASS
S00436,L0021,T01,436,NEGATIVE,EXPOSED,50.0,82.454342,105.710694,0.04792,112.096801,95.988539,103.12285,67.753642,2.370097,0.721702,0.011136,52.83073,2.726019,1.918345,0.028659,0.102112,0.044266,PASS
S00602,L0030,T03,602,POSITIVE,UNEXPOSED,50.0,112.201087,112.201087,0.048698,105.711946,95.156313,106.965045,57.274878,2.366206,0.426767,-0.740073,50.972048,2.994213,2.236526,0.008735,0.068452,0.056827,PASS
S00490,L0024,T01,490,NEGATIVE,EXPOSED,50.0,75.028539,96.190434,-0.003078,111.661125,98.284545,103.815013,54.230188,2.353059,0.647448,0.011678,48.249381,1.916662,1.221113,0.143528,0.038117,0.018306,PASS
S00444,L0022,T03,444,POSITIVE,UNEXPOSED,50.0,106.044525,106.044525,-0.07998,98.853491,94.20024,108.90297,40.051659,2.403435,-0.427908,-0.952054,51.690346,3.448728,1.362491,0.162588,0.021342,0.069745,FAIL
S00398,L0019,T01,398,POSITIVE,UNEXPOSED,50.0,110.318137,110.318137,0.043061,111.919558,97.453451,108.136271,51.756622,2.358806,-0.461353,0.325427,45.469632,2.777902,1.665831,0.02948,0.070457,0.037547,FAIL
S00777,L0038,T01,777,POSITIVE,UNEXPOSED,50.0,96.642576,96.642576,-0.163646,115.989144,100.256451,109.031978,52.62041,2.348582,0.732766,-0.424376,50.517794,5.178355,1.314317,0.230579,0.055061,0.294786,FAIL
